id,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_scree-1i-1g_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,r_days_from_arrest,violent_recid,is_violent_recid,vr_charge_degree,type_of_assessment,v_type_of_assessment,start,end,event,two_year_recid,score_text
1,Male,69,Greater_than_45,Other,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,327,0,0,Low
3,Male,34,25-45,African-American,0,0,0,0,-1,1,F,1,(F3),-1,N,1,(F3),Risk of Recidivism,Risk of Violence,9,159,1,1,Low
4,Male,24,Less_than_25,African-American,0,0,1,4,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,63,0,1,Low
5,Male,23,Less_than_25,African-American,0,1,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1174,0,0,High
6,Male,43,25-45,Other,0,0,0,2,-1,76,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1102,0,0,Low
7,Male,44,25-45,Other,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,853,0,0,Low
8,Male,41,25-45,Caucasian,0,0,0,14,-1,1,F,1,(F2),0,N,0,N,Risk of Recidivism,Risk of Violence,5,40,1,1,High
9,Male,43,25-45,Other,0,0,0,3,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,265,0,0,Low
10,Female,39,25-45,Caucasian,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,2,747,0,0,Low
13,Male,21,Less_than_25,Caucasian,0,0,0,1,428,308,F,1,(M1),0,N,1,(F2),Risk of Recidivism,Risk of Violence,0,428,1,1,Low
14,Male,27,25-45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,857,0,0,Low
15,Male,23,Less_than_25,African-American,0,0,0,3,0,0,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,4,128,1,1,High
16,Female,37,25-45,Caucasian,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,1186,0,0,Low
18,Male,41,25-45,African-American,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,905,0,0,Low
19,Female,47,Greater_than_45,Caucasian,0,0,0,1,-20,490,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,0,216,1,1,Low
20,Male,31,25-45,African-American,0,0,0,7,22,71,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,22,1,1,Low
21,Male,37,25-45,Hispanic,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,739,0,0,Low
22,Male,25,25-45,African-American,0,0,0,3,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,463,0,0,High
23,Male,31,25-45,Caucasian,0,0,0,6,-1,1,F,1,(F3),-1,N,1,(F1),Risk of Recidivism,Risk of Violence,0,241,1,1,High
24,Male,31,25-45,Caucasian,0,0,0,5,-1,1,F,1,(F3),1,N,0,N,Risk of Recidivism,Risk of Violence,0,163,1,1,Low
25,Male,64,Greater_than_45,African-American,0,0,0,13,-1,1,F,1,(F2),0,N,0,N,Risk of Recidivism,Risk of Violence,0,1,1,1,High
26,Male,21,Less_than_25,African-American,0,0,0,1,-1,1,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,2,30,1,1,High
27,Male,27,25-45,Caucasian,0,0,0,0,0,0,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,81,1,1,Low
28,Female,21,Less_than_25,Caucasian,0,0,0,0,-2,2,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,861,0,0,Low
30,Male,24,Less_than_25,Hispanic,0,0,0,1,0,1,F,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,1,411,1,1,Low
32,Male,43,25-45,Caucasian,0,0,0,1,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1162,0,0,Low
33,Male,32,25-45,Other,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,1056,0,0,Low
37,Male,27,25-45,African-American,0,0,0,8,-1,1,F,1,(M2),-1,N,1,(F3),Risk of Recidivism,Risk of Violence,16,116,0,1,Low
38,Female,36,25-45,Caucasian,0,0,0,3,53,95,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,53,0,0,Low
39,Male,26,25-45,African-American,0,0,1,5,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,391,0,1,High
40,Male,33,25-45,African-American,0,0,0,0,0,1,F,1,(F3),-1,N,1,(M1),Risk of Recidivism,Risk of Violence,38,215,0,1,High
41,Male,30,25-45,Caucasian,0,0,0,9,0,0,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,44,162,1,1,High
42,Male,32,25-45,African-American,0,0,0,4,-1,1,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,0,6,1,1,High
45,Male,55,Greater_than_45,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,823,0,0,Low
50,Male,49,Greater_than_45,Other,0,0,0,7,-1,0,F,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,3,502,0,1,Low
51,Male,26,25-45,Caucasian,0,0,2,6,81,382,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,81,0,0,High
52,Female,33,25-45,Caucasian,0,0,0,4,-1,1,M,1,(F3),57,N,0,N,Risk of Recidivism,Risk of Violence,10,223,1,1,High
53,Male,24,Less_than_25,Caucasian,0,0,0,1,0,0,M,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,1,240,1,1,Low
54,Male,34,25-45,African-American,2,1,3,21,0,0,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,33,514,1,1,High
55,Male,29,25-45,Caucasian,0,0,0,0,0,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1171,0,0,Low
56,Female,21,Less_than_25,African-American,0,0,0,2,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,79,524,0,0,High
57,Male,51,Greater_than_45,African-American,0,0,0,2,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1128,0,0,Low
59,Male,29,25-45,Caucasian,0,0,0,2,-1,1,M,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,72,1,1,Low
61,Female,51,Greater_than_45,African-American,0,0,0,7,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,529,0,0,Low
64,Male,29,25-45,African-American,0,0,0,0,0,0,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,0,61,1,1,High
66,Male,25,25-45,Caucasian,0,0,0,9,-1,1,M,1,(F2),0,N,1,(F2),Risk of Recidivism,Risk of Violence,6,8,1,1,High
67,Male,35,25-45,African-American,1,0,4,13,-1,1,F,1,(MO3),0,N,1,(MO3),Risk of Recidivism,Risk of Violence,0,9,1,1,High
68,Male,49,Greater_than_45,Caucasian,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,973,0,0,Low
69,Male,34,25-45,African-American,0,0,0,4,-59,59,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,257,1,1,Low
70,Male,29,25-45,African-American,0,0,0,0,0,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1073,0,0,Low
71,Male,29,25-45,Caucasian,0,0,0,1,-24,24,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,441,0,1,Low
72,Female,28,25-45,Other,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,865,0,0,Low
75,Male,48,Greater_than_45,Caucasian,0,0,0,20,302,562,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,275,1,1,High
77,Female,63,Greater_than_45,Hispanic,0,0,0,1,-219,219,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,800,0,0,Low
79,Male,31,25-45,African-American,0,0,1,15,-1,1,F,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,135,1077,1,0,High
80,Male,24,Less_than_25,African-American,0,0,0,2,-1,1,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,1,575,1,1,Low
83,Male,30,25-45,Hispanic,0,0,0,0,0,0,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,23,1167,0,0,High
84,Male,49,Greater_than_45,African-American,0,0,0,4,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,948,0,0,Low
85,Male,53,Greater_than_45,Caucasian,0,0,0,8,-13,13,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1039,0,0,High
87,Male,35,25-45,African-American,0,0,0,5,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1145,0,0,Low
88,Male,63,Greater_than_45,African-American,0,0,0,10,-38,906,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,44,1,1,High
90,Male,27,25-45,African-American,1,1,2,15,-1,1,F,1,(M1),0,N,0,N,Risk of Recidivism,Risk of Violence,0,44,1,1,High
91,Male,38,25-45,Caucasian,0,0,0,4,-1,1,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,1,272,1,1,Low
93,Male,22,Less_than_25,African-American,0,0,1,1,-1,1,F,1,(M1),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,371,1,1,Low
95,Male,22,Less_than_25,African-American,0,1,2,2,70,114,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,0,70,0,1,High
96,Male,29,25-45,African-American,0,0,0,4,-1,1,F,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,18,69,0,1,High
97,Male,62,Greater_than_45,Hispanic,0,0,0,0,0,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1179,0,0,Low
98,Male,27,25-45,African-American,0,1,0,6,0,0,F,1,(F3),0,N,0,N,Risk of Recidivism,Risk of Violence,30,193,1,1,High
99,Male,33,25-45,Other,0,0,0,0,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,754,0,0,Low
100,Female,56,Greater_than_45,African-American,0,0,0,0,0,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,3,916,0,0,Low
101,Male,45,Greater_than_45,Hispanic,0,0,0,6,-1,1,F,1,(M2),-1,N,1,(M1),Risk of Recidivism,Risk of Violence,241,323,1,1,Low
102,Male,22,Less_than_25,Hispanic,0,0,0,1,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1042,0,0,Low
105,Male,39,25-45,African-American,0,0,0,1,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,4,1121,0,0,Low
107,Male,29,25-45,African-American,0,0,0,5,0,0,F,1,(M2),0,N,0,N,Risk of Recidivism,Risk of Violence,1,253,1,1,High
108,Male,27,25-45,Caucasian,0,0,1,1,-1,1,F,1,(F3),-1,N,0,N,Risk of Recidivism,Risk of Violence,13,273,0,1,High
111,Male,40,25-45,African-American,0,0,0,2,-15,15,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,989,0,0,Low
113,Male,22,Less_than_25,African-American,0,0,0,1,0,1,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,17,256,0,1,Low
114,Male,22,Less_than_25,Caucasian,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,57,73,0,0,High
115,Female,26,25-45,African-American,0,0,0,1,-1,1,F,1,(M1),0,N,1,(F3),Risk of Recidivism,Risk of Violence,1,11,1,1,Low
116,Male,27,25-45,Caucasian,0,0,0,1,-43,44,F,1,(M1),24,N,1,(M1),Risk of Recidivism,Risk of Violence,0,258,1,1,High
119,Male,32,25-45,African-American,0,0,0,0,-1,1,F,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1124,0,0,Low
120,Male,41,25-45,African-American,0,0,0,1,-1,5185,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,1,1128,0,0,Low
122,Male,30,25-45,African-American,0,0,0,8,-1,1,M,1,(M1),0,N,1,(F3),Risk of Recidivism,Risk of Violence,0,55,1,1,High
127,Male,50,Greater_than_45,Other,0,0,0,0,-1,1,F,1,(M2),135,N,0,N,Risk of Recidivism,Risk of Violence,0,182,1,1,Low
128,Male,25,25-45,African-American,1,6,1,14,-1,1,F,1,(M1),0,N,1,(M1),Risk of Recidivism,Risk of Violence,6,100,1,1,High
130,Male,20,Less_than_25,Other,0,0,0,0,-1,1,F,1,(F2),0,N,1,(F2),Risk of Recidivism,Risk of Violence,0,119,1,1,High
131,Male,22,Less_than_25,African-American,1,0,0,2,0,0,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,30,175,1,1,High
132,Male,23,Less_than_25,African-American,0,0,1,2,137,192,M,1,(M2),-1,N,0,N,Risk of Recidivism,Risk of Violence,0,137,0,1,High
136,Female,35,25-45,African-American,0,0,0,1,-1,1,M,0,N,-1,N,0,N,Risk of Recidivism,Risk of Violence,0,1098,0,0,Low
137,Male,36,25-45,African-American,0,0,0,9,0,1,F,1,(M1),1,N,0,N,Risk of Recidivism,Risk of Violence,4,27,1,1,High
